123,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,FEMALE,MOUNTAIN,WHITE,18
124,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,FEMALE,MOUNTAIN,WHITE,18
125,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,FUJI,CROSSTOWN,MALE,HYBRID,BLUE,21
126,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,CRUISER,CRUISER,MALE,CRUISER,BLUE,1
127,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,MONGOOSE,BEDLAM,MALE,MOUNTAIN,BLUE,21
128,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,MICARGI,ROAD,MALE,MOUNATIN,WHITE,1
129,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,BIANCHI,BRAVA,MALE,MOUNTAIN,RED,24
130,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,PHAT CYCLES,SEAWIND,FEMALE,CRUISER,WHITE,1
131,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,MALE,MOUNTAIN,BLACK,18
132,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,GRANITE PEAK,ROADMASTER,FEMALE,MOUNAIN,PURPLE,18
133,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,HUFFY,SUPERIA,MALE,MOUNTAIN,BLUE,15
134,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,PHAT CYCLE,SEAWIND,FEMALE,CRUISER,BLACK,1
135,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,GT,MOUNTAIN,MALE,MOUNTAIN,BLACK,21
136,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,MONGOOSE,SAGA,MALE,MOUNTAIN,BLACK,21
137,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,NORTHROCK,OC,FEMALE,CRUISER,BLUE,1
138,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,CRUISER,CRUISER,FEMALE,CRUISER,BLACK,1
139,6/16/15,TUESDAY,10:30,SANTA CATALINA,ABANDONED,3G,ISLA VISTA,FEMALE,CRUISER,RED,1
